Date,Open,High,Low,Close,Volume
2023-10-23,11298.119522877609,11329.590056895318,11140.76405358359,11203.7060546875,5933444
2023-10-24,11203.706434263646,11329.590440736354,11172.23589917973,11266.6484375,7845177
2023-10-25,11298.119522877609,11361.061523981518,11203.7060546875,11203.7060546875,8178225
2023-10-26,11109.29219591875,11109.29219591875,10731.639269504263,10826.052734375,24772879
2023-10-27,10857.525170655654,11014.880648479731,10794.582233071193,10983.4091796875,15861430
2023-10-30,10857.524412143644,10983.408412381172,10700.1689453125,10700.1689453125,6849823
2023-10-31,10826.053330481733,10888.995332838465,10668.697858055648,10763.111328125,10003771
2023-11-01,10826.052734375,10888.994733266005,10763.110735483995,10826.052734375,9259497
2023-11-02,10920.467166276932,11172.236117204098,10888.995697510334,11140.7646484375,10515489
2023-11-03,11203.705447271821,11235.176912651776,10951.9365234375,10951.9365234375,20039421
2023-11-06,11077.821677680462,11329.589673577959,11046.350211659046,11298.119140625,13160149
2023-11-07,11298.119522877609,11329.590056895318,11140.76405358359,11203.7060546875,7972384
2023-11-08,11203.706259861121,11581.35920646903,11140.764257604555,11549.888671875,17197725
2023-11-09,11581.35920646903,11644.301208725597,11486.945736549926,11549.888671875,16460433
2023-11-10,11455.474776658015,11581.358776497558,11298.11931032435,11329.58984375,50144169
2023-11-13,11329.590267780999,11424.003737728493,11235.177730902013,11392.533203125,11539120
2023-11-14,11424.004108661378,11738.715063325892,11424.004108661378,11612.8310546875,21000619
2023-11-15,11770.185929114412,11801.656463127722,11612.83045984239,11675.7724609375,22482035
2023-11-16,11612.83024781129,11675.772247757184,11549.888247865396,11644.30078125,10734992
2023-11-17,11707.243538446004,11707.243538446004,11266.647679304631,11455.474609375,27806572
2023-11-20,11172.235310484806,11486.945310083664,11172.235310484806,11329.58984375,20154486
2023-11-21,11455.475205400493,11486.945740003986,11298.119733177506,11392.533203125,9274828
2023-11-22,11424.003524538395,11424.003524538395,11298.119522336605,11361.0615234375,12819965
2023-11-23,11392.533377041229,11424.003912125145,11266.6484375,11266.6484375,10667441
2023-11-24,11266.648268988221,11329.590271283172,11077.822262103373,11235.177734375,13515816
2023-11-27,11235.17674751252,11298.118744278843,11046.349824145125,11077.8212890625,10822885
2023-11-28,11077.822262103373,11266.648268988221,10983.408792126695,11235.177734375,12242062
2023-11-29,11203.706266693272,11266.648268988221,11140.764264398322,11235.177734375,8326989
2023-11-30,11235.1775217737,11298.119522877609,11172.23552066979,11203.7060546875,8601898
2023-12-01,11235.1775217737,11235.1775217737,11140.76405358359,11203.7060546875,6694835
2023-12-04,11203.706054151016,11392.532990522192,11203.706054151016,11361.0615234375,26542078
2023-12-05,11361.0615234375,11392.532990522192,11298.119522336605,11361.0615234375,12472798
2023-12-06,11361.061735452999,11424.003737728493,11329.590267780999,11392.533203125,10933010
2023-12-07,11424.004283778475,11549.889227415077,11361.06227849445,11486.9462890625,28226906
2023-12-08,11486.945142341088,11549.888074410184,11424.003143340451,11455.474609375,12932449
2023-12-11,11455.475374386251,11486.945909453983,11361.061903046015,11424.00390625,28342471
2023-12-12,11424.004283778475,11486.9462890625,11392.533747670737,11486.9462890625,10709793
2023-12-13,11486.94552563929,11549.888459808675,11361.0615234375,11361.0615234375,15397225
2023-12-14,11424.003524538395,11455.474991623087,11329.590056352808,11361.0615234375,15992281
2023-12-15,11361.0615234375,11455.474991623087,11329.590056352808,11361.0615234375,19181812
2023-12-18,11361.061310244122,11424.003310163893,11298.11931032435,11329.58984375,44613716
2023-12-19,11329.590434909764,11455.475374386251,11298.119899842031,11424.00390625,12141616
2023-12-20,11424.00390625,11455.475374386251,11361.061903046015,11424.00390625,19025549
2023-12-21,11392.533371182268,11424.00390625,11329.590434909764,11424.00390625,6769217
2023-12-22,11424.00352400631,11612.83046036869,11392.532989991572,11518.4169921875,14934539
2023-12-25,11549.88786603917,11675.771861769375,11518.416400572398,11581.3583984375,10328016
2023-12-26,11581.359585993634,11644.301590312829,11518.41758167444,11612.8310546875,10380691
2023-12-27,11644.300396302604,11644.300396302604,11549.88786603917,11581.3583984375,8780871
2023-12-28,11581.358992760588,11707.243928019301,11549.888458747278,11675.7724609375,17824507
2023-12-29,11707.244308713336,11864.599783102216,11675.772840608153,11738.71484375,22085700
2024-01-02,11770.185170718989,11959.011161837583,11738.713705665008,11864.5986328125,22945177
2024-01-03,11801.656835849657,12084.897249325737,11770.186300842437,12053.42578125,21031434
2024-01-04,12053.425558711408,12871.673449819822,12053.425558711408,12651.3759765625,75467218
2024-01-05,12651.375598030962,12903.14453125,12651.375598030962,12903.14453125,39257757
2024-01-08,12966.087293139062,13123.442769013174,12840.203285667183,13029.029296875,30583601
2024-01-09,13060.499409050077,13154.912871384176,12903.143949516056,13123.44140625,41138255
2024-01-10,13123.44259451623,13312.269536281823,12997.558588718177,13154.9140625,38989374
2024-01-11,13154.913079207447,13280.797075596025,12903.144153361844,12997.5576171875,47785956
2024-01-12,12903.144904897152,13564.03732403311,12840.202903036847,13438.1533203125,70080747
2024-01-15,13532.566192638518,13784.335122041277,13469.624193554942,13501.0947265625,38915903
2024-01-16,13501.094939677207,13532.56640625,13312.268939445865,13532.56640625,27310945
2024-01-17,13595.508406327113,13721.392406481342,13406.681473027298,13532.56640625,32609797
2024-01-18,13469.625161061142,13689.922640211573,13406.682224387994,13658.451171875,35981609
2024-01-19,13721.392578178968,13941.690047739716,13658.450577314252,13878.748046875,33522449
2024-01-22,14036.103730217003,14193.45920131938,13847.277724735248,13910.2197265625,56851270
2024-01-23,13910.219129283689,14067.574593629517,13784.335131034411,13815.8056640625,36114282
2024-01-24,13752.864469562182,13941.690477983544,13721.393001624365,13784.3359375,30647964
2024-01-25,13815.806472369302,13815.806472369302,13658.450998817245,13784.3359375,22480213
2024-01-26,13784.335343654495,13941.689877359018,13784.335343654495,13847.27734375,14462289
2024-01-29,13847.277892338136,14130.517370523252,13847.277892338136,13941.6904296875,23812866
2024-01-30,13941.690260941876,14004.633195837627,13752.864255460121,13910.2197265625,22140181
2024-01-31,14004.63280850055,14004.63280850055,13626.979874913586,13689.921875,42306811
2024-02-01,13658.450998817245,13815.806472369302,13595.508996010123,13784.3359375,20513037
2024-02-02,13784.33534166386,13847.277341750276,13689.921875,13689.921875,29224384
2024-02-05,13689.922608009194,14571.112522538126,13689.922608009194,14445.228515625,56825419
2024-02-06,14476.699387976416,14571.111922740653,14445.227921009347,14508.169921875,17865797
2024-02-07,14539.642139784102,14917.295097551485,14539.642139784102,14791.41015625,33258317
2024-02-15,14917.29470213696,15232.005647445787,14822.88123193061,15200.5341796875,38060055
2024-02-16,15169.06211716768,15169.06211716768,14917.29411724696,15106.1201171875,24948633
2024-02-19,15106.12092576536,15169.062929114607,14854.35291236838,15074.650390625,32071241
2024-02-20,15011.70703125,15169.061558874826,14885.822102854325,15011.70703125,34722412
2024-02-21,15011.707583751466,15232.005050216332,14917.29411724696,15106.1201171875,39899415
2024-02-22,15106.12092576536,15169.062929114607,15011.708387275754,15074.650390625,23064340
2024-02-23,15106.1207134019,15546.716596789718,14948.765240706645,15043.1787109375,84091476
2024-02-26,15043.17811720732,15137.591583711826,14885.822650722634,15106.1201171875,37014153
2024-02-27,15137.591585958458,15389.360518985017,15011.707585979415,15263.4755859375,38639323
2024-02-28,15326.418180687213,15452.303118619846,15200.53417582309,15357.8896484375,29432805
2024-02-29,15420.831654789978,15452.303122548265,15074.650174791374,15200.5341796875,38153715
2024-03-01,15169.06211716768,15200.533583692006,14980.23611722714,15106.1201171875,41625229
2024-03-04,15169.061950455607,15389.360347567806,14948.764486411868,15232.0048828125,56275447
