Date,Open,High,Low,Close,Volume
2023-06-21,53335.37506860504,53896.80104458449,53272.996051708535,53522.51953125,4053515
2023-06-22,53709.65628516835,53959.17604013647,52836.32787783632,53335.37109375,1550834
2023-06-23,53397.7579662086,53397.7579662086,52898.71100549266,53085.85546875,2367696
2023-06-26,53085.855295041285,53522.51953125,52773.952798603306,53522.51953125,2646021
2023-06-27,53647.277113800206,54458.2265625,53647.277113800206,54458.2265625,2642975
2023-06-28,54520.60178535351,54770.125245434436,54271.08203125,54271.08203125,1949455
2023-06-29,54271.0819589242,54333.46097087259,53959.17578125,53959.17578125,1942307
2023-06-30,53959.1798389014,54021.562561518294,53647.27734375,53647.27734375,1815163
2023-07-03,53959.17588707072,54146.32033523774,53647.27341476226,53896.796875,2196370
2023-07-04,53896.796841128606,54271.08203125,53772.035111088146,54271.08203125,2019872
2023-07-05,53874.96743734622,54879.29477847685,53659.75390625,53659.75390625,3319764
2023-07-06,53659.75818416174,53946.70834650734,53085.857859470554,53516.28125,2383010
2023-07-07,53229.3275852279,54161.91833097113,53229.3275852279,54018.44140625,1587924
2023-07-10,54018.44140625,54448.868474435745,53731.491262785385,54018.44140625,1944470
2023-07-11,54018.43616947918,54090.17647787377,53803.22265625,53803.22265625,2724614
2023-07-12,53803.22787215713,54305.391549714615,53731.491262785385,54018.44140625,1720438
2023-07-13,54377.12890625,54377.12890625,54090.17877839915,54377.12890625,1791838
2023-07-14,55166.246842580505,56170.57421875,54592.34283764241,56170.57421875,3733151
2023-07-17,56672.734375,56816.20758781001,56314.04393102,56672.734375,1649554
2023-07-18,56672.73305141622,56672.73305141622,56027.09249091756,56457.51953125,2218359
2023-07-19,56314.0390625,56600.989169289795,56170.565862093696,56314.0390625,1258886
2023-07-20,56385.78331979888,58322.7014361317,56314.04670985402,57605.32421875,3087119
2023-07-21,57174.89752194231,58107.48828125,57103.16091152717,58107.48828125,1816618
2023-07-24,58107.48828125,58322.701818473135,57820.53813361172,58107.48828125,8186040
2023-07-25,58107.481799284215,58968.33214617007,58107.481799284215,58322.6953125,1947001
2023-07-26,58250.96723246536,59327.03125,58179.22691357931,59327.03125,1841251
2023-07-27,59398.76177580685,60546.565994602184,59398.76177580685,60044.40234375,2352742
2023-07-28,59900.92583391723,60546.56640625,59613.975703761826,60546.56640625,1188159
2023-07-31,60761.77738409441,61550.89118357732,60546.56756185343,61407.41796875,2000050
2023-08-01,61407.418493729136,61909.58216187291,60618.3046875,60618.3046875,1900848
2023-08-02,60618.30295899651,60833.5164829182,59900.92578125,59900.92578125,2270116
2023-08-03,60116.138949306755,60403.08907751123,59470.498381363606,60044.40234375,1332970
2023-08-04,60259.612875561696,60618.3033195572,59757.44921875,59757.44921875,3316598
2023-08-07,59972.66409732475,60618.3046875,59757.450567266336,60618.3046875,995203
2023-08-08,60259.61292483897,60690.039975594555,60116.139711905445,60403.08984375,1197809
2023-08-09,60259.61343815568,60761.777099655665,59542.23995542215,59613.9765625,1946764
2023-08-10,59613.9725696391,59757.445774185166,58968.33203125,58968.33203125,1842677
2023-08-11,58824.86328125,59542.24047623592,58466.17283076825,58824.86328125,1697245
2023-08-14,58896.602502352216,59685.71634005852,58824.86589146375,59255.29296875,1341164
2023-08-15,59255.29350798869,60474.830728101624,58466.17595712348,60259.6171875,2268895
2023-08-16,59685.712513124374,61120.46687476634,59685.712513124374,61048.7265625,5561650
2023-08-17,60976.99000609218,62555.21758160288,60976.99000609218,61694.3671875,5730403
2023-08-18,61407.420203774636,63057.388176184984,60474.82944954367,61335.68359375,5665198
2023-08-21,61622.6328125,62196.53309601611,61335.68267074194,61622.6328125,4933212
2023-08-22,61909.577575824114,62053.05078125,59542.236332501205,62053.05078125,5044044
2023-08-23,61981.31417853705,62268.268001343444,60761.773402530474,62053.05078125,7091908
2023-08-24,62288.006178634096,65639.17449761037,61996.59696522904,65566.3203125,8342066
2023-08-25,65202.06376770693,66294.8313708595,64910.65455731113,66003.4296875,4868649
2023-08-28,67023.34414318392,68698.93000487419,66294.8249512581,68480.375,4714315
2023-08-29,68480.37794470826,68480.37794470826,67606.15788761938,68188.96875,4717091
2023-08-30,67897.5712022172,71540.14536220819,67824.72453632117,70374.5234375,4227237
2023-08-31,70374.5130053665,71030.17806345974,70010.25714877118,70447.3671875,2173791
2023-09-05,70738.76594786099,71904.39517879815,70520.2109375,70520.2109375,2636535
2023-09-06,70738.76882735717,72122.953125,70155.95795168253,72122.953125,3618889
2023-09-07,72122.95181790889,73434.27438265258,71103.0309222034,71321.5859375,4815354
2023-09-08,71030.17706888662,71758.68877187656,70665.92121739165,71103.03125,3485578
2023-09-11,71904.39452445766,72487.2053711047,69427.44278093099,70957.3203125,7776047
2023-09-12,70957.32642648139,72050.1015625,70957.32642648139,72050.1015625,5305224
2023-09-13,72050.09470672272,72122.94888453712,70957.31967468486,71394.4296875,6316417
2023-09-14,71394.43226045195,71394.43226045195,69573.14549277606,69864.5546875,4211763
2023-09-15,69937.40456569265,71248.73471186147,69427.4478602067,71030.1796875,3706965
2023-09-18,70593.0703125,70593.0703125,69718.85020671078,70593.0703125,3503961
2023-09-19,70520.21446082575,71685.84375,69864.55692402064,71685.84375,5813444
2023-09-20,71977.24251243043,72632.90754972171,71758.6875,71758.6875,3522476
2023-09-21,71758.68682053365,72050.09601002689,70155.95509591028,70520.2109375,5922021
2023-09-22,69281.74543558052,70665.92220686442,67460.45862556782,70447.3671875,10326872
2023-09-25,70665.92523143256,71103.0352888701,68698.9375,68698.9375,4167168
2023-09-26,68626.08141608015,69573.14816296821,67824.71550862807,68116.1171875,3396178
2023-09-27,68407.52828602951,68698.9375,65857.72965369235,68698.9375,6877529
2023-09-28,68553.22165026767,68698.93000487419,66586.23413343554,68480.375,2786241
2023-09-29,68480.38419943671,69136.04177510265,67606.1640625,67606.1640625,4538818
2023-10-02,68043.27086719143,68334.67254750185,67023.34993203252,67897.5625,2100313
2023-10-03,67169.0546875,68116.12149426811,66659.09795371306,67169.0546875,3767271
2023-10-04,66513.38152241675,68043.26659256245,66513.38152241675,67387.6015625,3581593
2023-10-05,67606.15755275878,67970.41339906299,66731.9375,66731.9375,1956108
2023-10-06,66659.0921447569,67606.15886899359,66294.82876432494,67533.3046875,1771619
2023-10-09,67314.7490123778,69646.0,67169.04817785014,69646.0,6578113
2023-10-10,70301.66147917107,70811.61813766317,69500.29563937237,70155.953125,7681210
2023-10-11,69864.55598343926,71394.43358476939,69864.55598343926,70665.921875,3857465
2023-10-12,70665.91467966871,71248.72549354858,69937.39551704243,70228.8046875,2908572
2023-10-13,69937.40362967581,70155.95865111223,69427.44693101496,70010.2578125,3927823
2023-10-16,70520.2109375,72050.09601002689,70155.95509591028,70520.2109375,9220997
2023-10-17,71248.72935921456,71248.72935921456,67824.7109375,67824.7109375,3628145
2023-10-18,69136.02815527536,69136.02815527536,66294.82079698669,67751.8515625,10451319
2023-10-19,68480.38258060574,68698.93760967342,67023.3515625,67023.3515625,7937083
2023-10-20,67387.59863611512,67751.85446131966,65639.16615891206,67679.0078125,5116056
2023-10-23,68334.66991678905,68334.66991678905,66149.12729045391,66294.828125,4032964
2023-10-24,67314.75324989931,67314.75324989931,66149.13144622928,67023.3515625,3535707
2023-10-25,66877.64944976145,67533.30699748664,66221.984375,66221.984375,3399748
2023-10-26,64327.84179007689,65493.463543640006,62652.2595784504,63235.07421875,8065825
2023-10-27,63745.029285306206,64109.28513311241,62870.812992460546,63380.7734375,3272921
2023-10-30,63380.777096116944,63453.631280698006,61923.74609375,61923.74609375,2628202
2023-10-31,61996.59240217494,62142.29699815336,60466.71484375,60466.71484375,4082820
2023-11-01,61413.78255523514,62215.1484375,60175.3104048827,62215.1484375,6681931
2023-11-02,62943.66752350087,64837.80859375,62579.411651885835,64837.80859375,4945222
2023-11-03,64837.804355760716,64983.50518947602,63380.7734375,63380.7734375,7206439
2023-11-06,64254.995474956784,64764.95217220115,63963.586271505636,64473.54296875,2639808
